Time,IP,MAC,Device,Score
2025-10-23 20:58:19.813224,192.168.0.1,60:83:e7:e0:57:4a,UNKNOWN,0
2025-10-23 20:58:19.814447,192.168.0.184,b8:88:e3:41:39:c6,CompalIn,-30
2025-10-23 20:58:19.815155,192.168.0.239,4c:37:de:30:8e:4d,UNKNOWN,0
2025-10-23 20:58:19.815742,192.168.0.224,00:fc:8b:03:a6:4e,AmazonTe,-30
2025-10-23 20:58:19.816347,192.168.0.74,bc:35:1e:3a:1d:c8,UNKNOWN,0
2025-10-23 20:58:19.816705,192.168.0.91,bc:35:1e:3e:a4:01,UNKNOWN,0
2025-10-23 20:58:19.816964,192.168.0.236,44:27:45:46:b1:7a,UNKNOWN,0
2025-10-23 20:58:19.817194,192.168.0.246,38:a5:c9:f3:7e:b4,UNKNOWN,0
2025-10-23 20:58:19.817405,192.168.0.243,bc:35:1e:30:a4:49,UNKNOWN,0
2025-10-23 20:58:19.817636,192.168.0.225,34:6f:92:38:61:0f,WhiteRod,70
